left,right,match,match_confidence,gold,left_id,right_id,source,left_kv,right_kv,left_count,right_kv_distinct
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 266 COL cert VAL A1NM,1,0.9999788116779152,1,BOEING 767,2725,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 266', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-316F,1,0.9994726563145857,1,BOEING 767,B-767-316BCF,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-316F']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-322,1,0.9998264690160101,1,BOEING 767,B-767-3J6,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-322']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 31K COL cert VAL A1NM,1,0.9999750269464264,1,BOEING 767,2756,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 31K', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL B COL model VAL 767 COL series VAL 352 COL cert VAL A1NM,1,0.9999860010955582,1,BOEING 767,B-767-352,faa,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: B', 'model: 767', 'series: 352', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL B COL model VAL 767 COL series VAL 3G5 COL cert VAL A1NM,1,0.9999835283923195,1,BOEING 767,B-767-3G5,faa,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: B', 'model: 767', 'series: 3G5', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 3J6 COL cert VAL A1NM,1,0.9999828138210999,1,BOEING 767,2797,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 3J6', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL B COL model VAL 767 COL series VAL 3X2 COL cert VAL A1NM,1,0.9999848061842325,1,BOEING 767,B-767-3X2,faa,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: B', 'model: 767', 'series: 3X2', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 3S2F COL cert VAL A1NM,1,0.9999598733710121,1,BOEING 767,10453,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 3S2F', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 316 COL cert VAL A1NM,1,0.9999760853296162,1,BOEING 767,2751,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 316', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-3P6,1,0.9997904546393113,1,BOEING 767,B-767-3P6,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-3P6']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-266,1,0.9998305212259688,1,BOEING 767,B-767-266,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-266']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 322 COL cert VAL A1NM,1,0.9999794163073248,1,BOEING 767,2757,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 322', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 3T7 COL cert VAL A1NM,1,0.9999803540422014,1,BOEING 767,2802,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 3T7', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-281,1,0.9998196563057925,1,BOEING 767,B-767-281,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-281']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL BOEING COL model VAL 767 COL series VAL 231 COL cert VAL A1NM,1,0.9999778763986288,1,BOEING 767,2708,cictt,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: BOEING', 'model: 767', 'series: 231', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL B COL model VAL 767 COL series VAL 37E COL cert VAL A1NM,1,0.9999852794970754,1,BOEING 767,B-767-37E,faa,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: B', 'model: 767', 'series: 37E', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-341,1,0.9998448942566334,1,BOEING 767,B-767-341,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-341']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL mfr VAL BOEING COL model VAL 767-352,1,0.9998148792230084,1,BOEING 767,B-767-352,reg,"['make: BOEING', 'model: 767', 'cert: A1NM']","['mfr: BOEING', 'model: 767-352']",247,229
COL make VAL BOEING COL model VAL 767 COL cert VAL A1NM,COL make VAL B COL model VAL 767 COL series VAL 2AX COL cert VAL A1NM,1,0.9999824631403165,1,BOEING 767,B-767-2AX,faa,"['make: BOEING', 'model: 767', 'cert: A1NM']","['make: B', 'model: 767', 'series: 2AX', 'cert: A1NM']",247,229
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 232 COL cert VAL T00001SE,1,0.9999877849319116,1,BOEING 777,B-777-232,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 232', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 21B COL cert VAL T00001SE,1,0.9999675159604237,1,BOEING 777,B-777-21B,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 21B', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-2Q8,1,0.999981803528851,1,BOEING 777,B-777-2Q8,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-2Q8']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200LR COL code VAL B77L,1,0.9999586481021386,1,BOEING 777,B77L 777-200LR,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200LR', 'code: B77L']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 2Q8 COL cert VAL T00001SE,1,0.9999830010949777,1,BOEING 777,2848,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 2Q8', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL F16 COL cert VAL T00001SE,1,0.9777458244951781,1,BOEING 777,B-777-F16,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: F16', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 267 COL cert VAL T00001SE,1,0.9999862961258884,1,BOEING 777,B-777-267,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 267', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-222,1,0.9999770294889331,1,BOEING 777,B-777-222,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-222']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 346 COL cert VAL T00001SE,1,0.9999159592936363,1,BOEING 777,B-777-346,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 346', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL FHT COL cert VAL T00001SE,1,0.9999863896202692,1,BOEING 777,B-777-FHT,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: FHT', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-224,1,0.9999647115736168,1,BOEING 777,B-777-224,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-224']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-300ER BBJ,1,0.999983922850045,1,BOEING 777,B77W 777-300ER BBJ,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-300ER BBJ']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL F1B COL cert VAL T00001SE,1,0.9998858353833565,1,BOEING 777,2878,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: F1B', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 289 COL cert VAL T00001SE,1,0.9999859426803328,1,BOEING 777,2838,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 289', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 232LR COL cert VAL T00001SE,1,0.9999848769678125,1,BOEING 777,B-777-232LR,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 232LR', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777F,1,0.9998915960458501,1,BOEING 777,B-777-F,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777F']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 24Q COL cert VAL T00001SE,1,0.9999752656920956,1,BOEING 777,2830,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 24Q', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-21B,1,0.999951993408307,1,BOEING 777,B-777-21B,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-21B']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-300,1,0.9999810735071238,1,BOEING 777,B773 777-300,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-300']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-289,1,0.9999786701062543,1,BOEING 777,B-777-289,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-289']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-268,1,0.9999783073397747,1,BOEING 777,B-777-268,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-268']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-24Q,1,0.9999720774420653,1,BOEING 777,B-777-24Q,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-24Q']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 21H COL cert VAL T00001SE,1,0.9999725026339831,1,BOEING 777,2814,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 21H', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 21B COL cert VAL T00001SE,1,0.999964707080725,1,BOEING 777,2813,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 21B', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL F1H COL cert VAL T00001SE,1,0.9997114919747095,1,BOEING 777,B-777-F1H,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: F1H', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 222 COL cert VAL T00001SE,1,0.9999865096819167,1,BOEING 777,2816,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 222', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-300ER COL code VAL B77W,1,0.9999501705063154,1,BOEING 777,B77W 777-300ER,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-300ER', 'code: B77W']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200LR BBJ,1,0.9999807811740257,1,BOEING 777,B77L 777-200LR BBJ,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200LR BBJ']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 236 COL cert VAL T00001SE,1,0.9999856157467152,1,BOEING 777,2823,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 236', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777F1B,1,0.9998389707829278,1,BOEING 777,B-777-F1B,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777F1B']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 223 COL cert VAL T00001SE,1,0.9999865313744761,1,BOEING 777,2817,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 223', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 2H6 COL cert VAL T00001SE,1,0.9999743484862437,1,BOEING 777,B-777-2H6,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 2H6', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL F1B COL cert VAL T00001SE,1,0.9997643499955525,1,BOEING 777,B-777-F1B,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: F1B', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-2D7,1,0.999972978863809,1,BOEING 777,B-777-2D7,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-2D7']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-F,1,0.9999605917773733,1,BOEING 777,B77L 777-F,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-F']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 212 COL cert VAL T00001SE,1,0.9999874340986594,1,BOEING 777,2811,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 212', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-300 COL code VAL B773,1,0.9999825765797389,1,BOEING 777,B773 777-300,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-300', 'code: B773']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL F28 COL cert VAL T00001SE,1,0.9999838203668887,1,BOEING 777,2880,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: F28', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 223 COL cert VAL T00001SE,1,0.9999868891626096,1,BOEING 777,B-777-223,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 223', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-F COL code VAL B77L,1,0.999966178230816,1,BOEING 777,B77L 777-F,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-F', 'code: B77L']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-323ER,1,0.9999543007481481,1,BOEING 777,B-777-323ER,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-323ER']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL F COL cert VAL T00001SE,1,0.9999845027864466,1,BOEING 777,11572,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: F', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 2D7 COL cert VAL T00001SE,1,0.9999841365118929,1,BOEING 777,2843,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 2D7', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200,1,0.9999809479926027,1,BOEING 777,B-777-200,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-21H,1,0.9999766445564293,1,BOEING 777,B-777-21H,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-21H']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777F28,1,0.9996943411649355,1,BOEING 777,B-777-F28,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777F28']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL code VAL B77L,1,0.9999884962238894,1,BOEING 777,B77L,doc8643_code,"['make: BOEING', 'model: 777', 'cert: T00001SE']",['code: B77L'],101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL F16 COL cert VAL T00001SE,1,0.9991638804241443,1,BOEING 777,10231,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: F16', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 312 COL cert VAL T00001SE,1,0.9999865727856044,1,BOEING 777,B-777-312,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 312', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777FHT,1,0.9999606275195994,1,BOEING 777,B-777-FHT,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777FHT']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200LR,1,0.9999776624472657,1,BOEING 777,B77L 777-200LR,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200LR']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 267 COL cert VAL T00001SE,1,0.9999861892985225,1,BOEING 777,2833,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 267', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL F COL cert VAL T00001SE,1,0.9999844423629817,1,BOEING 777,B-777-F,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: F', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 224 COL cert VAL T00001SE,1,0.9999713250474489,1,BOEING 777,B-777-224,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 224', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL 2Q8 COL cert VAL T00001SE,1,0.9999802350596831,1,BOEING 777,B-777-2Q8,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: 2Q8', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL code VAL B772,1,0.9999876479277835,1,BOEING 777,B772,doc8643_code,"['make: BOEING', 'model: 777', 'cert: T00001SE']",['code: B772'],101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-267,1,0.9999796882028293,1,BOEING 777,B-777-267,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-267']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200ER,1,0.9999671738451148,1,BOEING 777,B772 777-200ER,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200ER']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-300ER BBJ COL code VAL B77W,1,0.9999292765786699,1,BOEING 777,B77W 777-300ER BBJ,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-300ER BBJ', 'code: B77W']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 200LR COL cert VAL T00001SE,1,0.9999842884175189,1,BOEING 777,11592,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 200LR', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL B COL model VAL 777 COL series VAL FFX COL cert VAL T00001SE,1,0.9999714610834917,1,BOEING 777,B-777-FFX,faa,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: B', 'model: 777', 'series: FFX', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200ER COL code VAL B772,1,0.9999796110591853,1,BOEING 777,B772 777-200ER,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200ER', 'code: B772']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 767-424ER,1,0.7769162970608396,1,BOEING 777,B-777-FFX,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 767-424ER']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777F1H,1,0.9998625645920335,1,BOEING 777,B-777-F1H,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777F1H']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-200,1,0.9999809479926027,1,BOEING 777,B772 777-200,doc8643_description,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-200']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL code VAL B773,1,0.9999886629331134,1,BOEING 777,B773,doc8643_code,"['make: BOEING', 'model: 777', 'cert: T00001SE']",['code: B773'],101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL FFX COL cert VAL T00001SE,1,0.9999817499415358,1,BOEING 777,9865,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: FFX', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL make VAL BOEING COL model VAL 777 COL series VAL 312 COL cert VAL T00001SE,1,0.9999868089219213,1,BOEING 777,2852,cictt,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['make: BOEING', 'model: 777', 'series: 312', 'cert: T00001SE']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777F16,1,0.9998377540512677,1,BOEING 777,B-777-F16,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777F16']",101,100
COL make VAL BOEING COL model VAL 777 COL cert VAL T00001SE,COL mfr VAL BOEING COL model VAL 777-232LR,1,0.9999745321024179,1,BOEING 777,B-777-232LR,reg,"['make: BOEING', 'model: 777', 'cert: T00001SE']","['mfr: BOEING', 'model: 777-232LR']",101,100
